,Instruction,text,finetunetext
103,What can be  the punishment for Cyber Harassment: Harassment using electronic communication,"For the offence of Cyber Harassment: Harassment using electronic communication, the punishment is Up to 5 years imprisonment and a fine of up to NPR 100,000 according to the section of Electronic Transactions Act, 2008, Section 47.","<s>[INST] What can be  the punishment for Cyber Harassment: Harassment using electronic communication according the law and acts of Nepal? [/INST]  For the offence of Cyber Harassment: Harassment using electronic communication ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 100,000 according to the section of Electronic Transactions Act, 2008, Section 47.</s>"
104,What can be  the punishment for Workplace Discrimination: Discrimination at the workplace based on gender,"For the offence of Workplace Discrimination: Discrimination at the workplace based on gender, the punishment is Up to 1 year imprisonment and a fine of up to NPR 10,000 according to the section of Labor Act, 2017, Section 132.","<s>[INST] What can be  the punishment for Workplace Discrimination: Discrimination at the workplace based on gender according the law and acts of Nepal? [/INST]  For the offence of Workplace Discrimination: Discrimination at the workplace based on gender ,the punishment is Up to 1 year imprisonment and a fine of up to NPR 10,000 according to the section of Labor Act, 2017, Section 132.</s>"
105,What can be  the punishment for Violation of Maternity Rights: Denying maternity leave or benefits,"For the offence of Violation of Maternity Rights: Denying maternity leave or benefits, the punishment is Up to 3 months imprisonment and a fine of up to NPR 5,000 according to the section of Labor Act, 2017, Section 145.","<s>[INST] What can be  the punishment for Violation of Maternity Rights: Denying maternity leave or benefits according the law and acts of Nepal? [/INST]  For the offence of Violation of Maternity Rights: Denying maternity leave or benefits ,the punishment is Up to 3 months imprisonment and a fine of up to NPR 5,000 according to the section of Labor Act, 2017, Section 145.</s>"
106,What can be  the punishment for Gender-Based Violence in Conflict: Violence against women during armed conflict,"For the offence of Gender-Based Violence in Conflict: Violence against women during armed conflict, the punishment is Up to 10 years imprisonment according to the section of Constitution of Nepal, Article 22.","<s>[INST] What can be  the punishment for Gender-Based Violence in Conflict: Violence against women during armed conflict according the law and acts of Nepal? [/INST]  For the offence of Gender-Based Violence in Conflict: Violence against women during armed conflict ,the punishment is Up to 10 years imprisonment according to the section of Constitution of Nepal, Article 22.</s>"
107,What can be  the punishment for Unequal Pay: Paying different wages based on gender for the same work,"For the offence of Unequal Pay: Paying different wages based on gender for the same work, the punishment is Prohibited and subject to legal action according to the section of Labor Act, 2017, Section 132.","<s>[INST] What can be  the punishment for Unequal Pay: Paying different wages based on gender for the same work according the law and acts of Nepal? [/INST]  For the offence of Unequal Pay: Paying different wages based on gender for the same work ,the punishment is Prohibited and subject to legal action according to the section of Labor Act, 2017, Section 132.</s>"
108,What can be  the punishment for Disinheritance: Denying a woman her rightful inheritance,"For the offence of Disinheritance: Denying a woman her rightful inheritance, the punishment is Legal action to restore rights according to the section of Constitution of Nepal, Article 18 and Article 38.","<s>[INST] What can be  the punishment for Disinheritance: Denying a woman her rightful inheritance according the law and acts of Nepal? [/INST]  For the offence of Disinheritance: Denying a woman her rightful inheritance ,the punishment is Legal action to restore rights according to the section of Constitution of Nepal, Article 18 and Article 38.</s>"
109,What can be  the punishment for Female Infanticide: The act of killing a female infant,"For the offence of Female Infanticide: The act of killing a female infant, the punishment is Life imprisonment according to the section of Muluki Ain (General Code), Chapter on Homicide, Section 176.","<s>[INST] What can be  the punishment for Female Infanticide: The act of killing a female infant according the law and acts of Nepal? [/INST]  For the offence of Female Infanticide: The act of killing a female infant ,the punishment is Life imprisonment according to the section of Muluki Ain (General Code), Chapter on Homicide, Section 176.</s>"
110,What can be  the punishment for Honor Killing: Killing a woman to protect family honor,"For the offence of Honor Killing: Killing a woman to protect family honor, the punishment is Life imprisonment according to the section of Muluki Ain (General Code), Chapter on Homicide, Section 176.","<s>[INST] What can be  the punishment for Honor Killing: Killing a woman to protect family honor according the law and acts of Nepal? [/INST]  For the offence of Honor Killing: Killing a woman to protect family honor ,the punishment is Life imprisonment according to the section of Muluki Ain (General Code), Chapter on Homicide, Section 176.</s>"
111,What can be  the punishment for Abduction: Kidnapping a woman or girl,"For the offence of Abduction: Kidnapping a woman or girl, the punishment is Up to 10 years imprisonment and a fine of up to NPR 100,000 according to the section of Muluki Ain (General Code), Chapter on Abduction, Section 178.","<s>[INST] What can be  the punishment for Abduction: Kidnapping a woman or girl according the law and acts of Nepal? [/INST]  For the offence of Abduction: Kidnapping a woman or girl ,the punishment is Up to 10 years imprisonment and a fine of up to NPR 100,000 according to the section of Muluki Ain (General Code), Chapter on Abduction, Section 178.</s>"
112,What can be  the punishment for Forced Pregnancy: Forcing a woman to become pregnant,"For the offence of Forced Pregnancy: Forcing a woman to become pregnant, the punishment is Up to 7 years imprisonment according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.","<s>[INST] What can be  the punishment for Forced Pregnancy: Forcing a woman to become pregnant according the law and acts of Nepal? [/INST]  For the offence of Forced Pregnancy: Forcing a woman to become pregnant ,the punishment is Up to 7 years imprisonment according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.</s>"
113,What can be  the punishment for Sexual Blackmail: Threatening to reveal sexual information to coerce someone,"For the offence of Sexual Blackmail: Threatening to reveal sexual information to coerce someone, the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Muluki Ain (General Code), Chapter on Harassment, Section 223.","<s>[INST] What can be  the punishment for Sexual Blackmail: Threatening to reveal sexual information to coerce someone according the law and acts of Nepal? [/INST]  For the offence of Sexual Blackmail: Threatening to reveal sexual information to coerce someone ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Muluki Ain (General Code), Chapter on Harassment, Section 223.</s>"
114,What can be  the punishment for Forced Nudity: Compelling someone to be naked against their will,"For the offence of Forced Nudity: Compelling someone to be naked against their will, the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.","<s>[INST] What can be  the punishment for Forced Nudity: Compelling someone to be naked against their will according the law and acts of Nepal? [/INST]  For the offence of Forced Nudity: Compelling someone to be naked against their will ,the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.</s>"
115,What can be  the punishment for Intimate Partner Violence: Violence by a current or former partner,"For the offence of Intimate Partner Violence: Violence by a current or former partner, the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.","<s>[INST] What can be  the punishment for Intimate Partner Violence: Violence by a current or former partner according the law and acts of Nepal? [/INST]  For the offence of Intimate Partner Violence: Violence by a current or former partner ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.</s>"
116,What can be  the punishment for Sex-selective Abortion: Aborting a fetus based on its sex,"For the offence of Sex-selective Abortion: Aborting a fetus based on its sex, the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Muluki Ain (General Code), Chapter on Abortion, Section 220.","<s>[INST] What can be  the punishment for Sex-selective Abortion: Aborting a fetus based on its sex according the law and acts of Nepal? [/INST]  For the offence of Sex-selective Abortion: Aborting a fetus based on its sex ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Muluki Ain (General Code), Chapter on Abortion, Section 220.</s>"
117,What can be  the punishment for Deprivation of Education: Preventing a girl from receiving an education,"For the offence of Deprivation of Education: Preventing a girl from receiving an education, the punishment is Legal action to ensure education rights according to the section of Constitution of Nepal, Article 31.","<s>[INST] What can be  the punishment for Deprivation of Education: Preventing a girl from receiving an education according the law and acts of Nepal? [/INST]  For the offence of Deprivation of Education: Preventing a girl from receiving an education ,the punishment is Legal action to ensure education rights according to the section of Constitution of Nepal, Article 31.</s>"
118,What can be  the punishment for Employment Discrimination: Denying employment based on gender,"For the offence of Employment Discrimination: Denying employment based on gender, the punishment is Up to 1 year imprisonment and a fine of up to NPR 10,000 according to the section of Labor Act, 2017, Section 132.","<s>[INST] What can be  the punishment for Employment Discrimination: Denying employment based on gender according the law and acts of Nepal? [/INST]  For the offence of Employment Discrimination: Denying employment based on gender ,the punishment is Up to 1 year imprisonment and a fine of up to NPR 10,000 according to the section of Labor Act, 2017, Section 132.</s>"
119,What can be  the punishment for Forced Labor in Marriage: Compelling a spouse to work without compensation,"For the offence of Forced Labor in Marriage: Compelling a spouse to work without compensation, the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Constitution of Nepal, Article 29.","<s>[INST] What can be  the punishment for Forced Labor in Marriage: Compelling a spouse to work without compensation according the law and acts of Nepal? [/INST]  For the offence of Forced Labor in Marriage: Compelling a spouse to work without compensation ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Constitution of Nepal, Article 29.</s>"
120,What can be  the punishment for Illegal Confinement: Unlawfully restricting a woman's freedom,"For the offence of Illegal Confinement: Unlawfully restricting a woman's freedom, the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Muluki Ain (General Code), Chapter on Harassment, Section 223.","<s>[INST] What can be  the punishment for Illegal Confinement: Unlawfully restricting a woman's freedom according the law and acts of Nepal? [/INST]  For the offence of Illegal Confinement: Unlawfully restricting a woman's freedom ,the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Muluki Ain (General Code), Chapter on Harassment, Section 223.</s>"
121,What can be  the punishment for Forced Migration: Compelling a woman to migrate against her will,"For the offence of Forced Migration: Compelling a woman to migrate against her will, the punishment is Up to 10 years imprisonment according to the section of Constitution of Nepal, Article 45.","<s>[INST] What can be  the punishment for Forced Migration: Compelling a woman to migrate against her will according the law and acts of Nepal? [/INST]  For the offence of Forced Migration: Compelling a woman to migrate against her will ,the punishment is Up to 10 years imprisonment according to the section of Constitution of Nepal, Article 45.</s>"
122,What can be  the punishment for Violation of Reproductive Rights: Denying a woman control over her reproductive choices,"For the offence of Violation of Reproductive Rights: Denying a woman control over her reproductive choices, the punishment is Legal action to restore rights according to the section of Constitution of Nepal, Article 38.","<s>[INST] What can be  the punishment for Violation of Reproductive Rights: Denying a woman control over her reproductive choices according the law and acts of Nepal? [/INST]  For the offence of Violation of Reproductive Rights: Denying a woman control over her reproductive choices ,the punishment is Legal action to restore rights according to the section of Constitution of Nepal, Article 38.</s>"
123,What can be  the punishment for Child Abuse: Physical or mental abuse of a girl child,"For the offence of Child Abuse: Physical or mental abuse of a girl child, the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Child Rights Act, 2018, Section 66.","<s>[INST] What can be  the punishment for Child Abuse: Physical or mental abuse of a girl child according the law and acts of Nepal? [/INST]  For the offence of Child Abuse: Physical or mental abuse of a girl child ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Child Rights Act, 2018, Section 66.</s>"
124,What can be  the punishment for Sexual Violence in Custody: Sexual abuse by law enforcement personnel,"For the offence of Sexual Violence in Custody: Sexual abuse by law enforcement personnel, the punishment is Up to 7 years imprisonment and a fine of up to NPR 70,000 according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.","<s>[INST] What can be  the punishment for Sexual Violence in Custody: Sexual abuse by law enforcement personnel according the law and acts of Nepal? [/INST]  For the offence of Sexual Violence in Custody: Sexual abuse by law enforcement personnel ,the punishment is Up to 7 years imprisonment and a fine of up to NPR 70,000 according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.</s>"
125,What can be  the punishment for Gender Identity Discrimination: Discrimination based on gender identity,"For the offence of Gender Identity Discrimination: Discrimination based on gender identity, the punishment is Prohibited and subject to legal action according to the section of Constitution of Nepal, Article 18.","<s>[INST] What can be  the punishment for Gender Identity Discrimination: Discrimination based on gender identity according the law and acts of Nepal? [/INST]  For the offence of Gender Identity Discrimination: Discrimination based on gender identity ,the punishment is Prohibited and subject to legal action according to the section of Constitution of Nepal, Article 18.</s>"
126,What can be  the punishment for Violation of Marriage Rights: Denying a woman's rights within marriage,"For the offence of Violation of Marriage Rights: Denying a woman's rights within marriage, the punishment is Legal action to restore rights according to the section of Constitution of Nepal, Article 38.","<s>[INST] What can be  the punishment for Violation of Marriage Rights: Denying a woman's rights within marriage according the law and acts of Nepal? [/INST]  For the offence of Violation of Marriage Rights: Denying a woman's rights within marriage ,the punishment is Legal action to restore rights according to the section of Constitution of Nepal, Article 38.</s>"
127,What can be  the punishment for Forced Sterilization: Coercing a woman into sterilization,"For the offence of Forced Sterilization: Coercing a woman into sterilization, the punishment is Up to 7 years imprisonment according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.","<s>[INST] What can be  the punishment for Forced Sterilization: Coercing a woman into sterilization according the law and acts of Nepal? [/INST]  For the offence of Forced Sterilization: Coercing a woman into sterilization ,the punishment is Up to 7 years imprisonment according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.</s>"
128,What can be  the punishment for Gender-Based Asylum: Denial of asylum based on gender persecution,"For the offence of Gender-Based Asylum: Denial of asylum based on gender persecution, the punishment is Legal action to ensure asylum rights according to the section of Constitution of Nepal, Article 45.","<s>[INST] What can be  the punishment for Gender-Based Asylum: Denial of asylum based on gender persecution according the law and acts of Nepal? [/INST]  For the offence of Gender-Based Asylum: Denial of asylum based on gender persecution ,the punishment is Legal action to ensure asylum rights according to the section of Constitution of Nepal, Article 45.</s>"
129,What can be  the punishment for Female Genital Mutilation: Performing genital mutilation on a girl,"For the offence of Female Genital Mutilation: Performing genital mutilation on a girl, the punishment is Up to 10 years imprisonment and a fine of up to NPR 100,000 according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.","<s>[INST] What can be  the punishment for Female Genital Mutilation: Performing genital mutilation on a girl according the law and acts of Nepal? [/INST]  For the offence of Female Genital Mutilation: Performing genital mutilation on a girl ,the punishment is Up to 10 years imprisonment and a fine of up to NPR 100,000 according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.</s>"
130,What can be  the punishment for Public Indecency: Forcing a woman into acts of public indecency,"For the offence of Public Indecency: Forcing a woman into acts of public indecency, the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Muluki Ain (General Code), Chapter on Harassment, Section 223.","<s>[INST] What can be  the punishment for Public Indecency: Forcing a woman into acts of public indecency according the law and acts of Nepal? [/INST]  For the offence of Public Indecency: Forcing a woman into acts of public indecency ,the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Muluki Ain (General Code), Chapter on Harassment, Section 223.</s>"
131,What can be  the punishment for Psychological Abuse: Inflicting psychological harm on a woman,"For the offence of Psychological Abuse: Inflicting psychological harm on a woman, the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.","<s>[INST] What can be  the punishment for Psychological Abuse: Inflicting psychological harm on a woman according the law and acts of Nepal? [/INST]  For the offence of Psychological Abuse: Inflicting psychological harm on a woman ,the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.</s>"
132,What can be  the punishment for Violation of Health Rights: Denying a woman access to healthcare,"For the offence of Violation of Health Rights: Denying a woman access to healthcare, the punishment is Legal action to ensure health rights according to the section of Constitution of Nepal, Article 35.","<s>[INST] What can be  the punishment for Violation of Health Rights: Denying a woman access to healthcare according the law and acts of Nepal? [/INST]  For the offence of Violation of Health Rights: Denying a woman access to healthcare ,the punishment is Legal action to ensure health rights according to the section of Constitution of Nepal, Article 35.</s>"
133,What can be  the punishment for Cyber Stalking: Using electronic means to stalk someone,"For the offence of Cyber Stalking: Using electronic means to stalk someone, the punishment is Up to 5 years imprisonment and a fine of up to NPR 100,000 according to the section of Electronic Transactions Act, 2008, Section 47.","<s>[INST] What can be  the punishment for Cyber Stalking: Using electronic means to stalk someone according the law and acts of Nepal? [/INST]  For the offence of Cyber Stalking: Using electronic means to stalk someone ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 100,000 according to the section of Electronic Transactions Act, 2008, Section 47.</s>"
134,What can be  the punishment for Sexual Coercion: Coercing someone into sexual activities,"For the offence of Sexual Coercion: Coercing someone into sexual activities, the punishment is Up to 10 years imprisonment and a fine of up to NPR 100,000 according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.","<s>[INST] What can be  the punishment for Sexual Coercion: Coercing someone into sexual activities according the law and acts of Nepal? [/INST]  For the offence of Sexual Coercion: Coercing someone into sexual activities ,the punishment is Up to 10 years imprisonment and a fine of up to NPR 100,000 according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.</s>"
135,What can be  the punishment for Violation of Privacy: Intruding on a woman's privacy,"For the offence of Violation of Privacy: Intruding on a woman's privacy, the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Constitution of Nepal, Article 28.","<s>[INST] What can be  the punishment for Violation of Privacy: Intruding on a woman's privacy according the law and acts of Nepal? [/INST]  For the offence of Violation of Privacy: Intruding on a woman's privacy ,the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Constitution of Nepal, Article 28.</s>"
136,What can be  the punishment for Physical Abuse: Inflicting physical harm on a woman,"For the offence of Physical Abuse: Inflicting physical harm on a woman, the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.","<s>[INST] What can be  the punishment for Physical Abuse: Inflicting physical harm on a woman according the law and acts of Nepal? [/INST]  For the offence of Physical Abuse: Inflicting physical harm on a woman ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.</s>"
137,What can be  the punishment for Gender-Based Violence in Education: Violence against women in educational institutions,"For the offence of Gender-Based Violence in Education: Violence against women in educational institutions, the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Constitution of Nepal, Article 31.","<s>[INST] What can be  the punishment for Gender-Based Violence in Education: Violence against women in educational institutions according the law and acts of Nepal? [/INST]  For the offence of Gender-Based Violence in Education: Violence against women in educational institutions ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Constitution of Nepal, Article 31.</s>"
138,What can be  the punishment for Online Sexual Exploitation: Exploiting someone sexually through the internet,"For the offence of Online Sexual Exploitation: Exploiting someone sexually through the internet, the punishment is Up to 10 years imprisonment and a fine of up to NPR 100,000 according to the section of Electronic Transactions Act, 2008, Section 47.","<s>[INST] What can be  the punishment for Online Sexual Exploitation: Exploiting someone sexually through the internet according the law and acts of Nepal? [/INST]  For the offence of Online Sexual Exploitation: Exploiting someone sexually through the internet ,the punishment is Up to 10 years imprisonment and a fine of up to NPR 100,000 according to the section of Electronic Transactions Act, 2008, Section 47.</s>"
139,What can be  the punishment for Violation of Parental Rights: Denying a woman her parental rights,"For the offence of Violation of Parental Rights: Denying a woman her parental rights, the punishment is Legal action to restore rights according to the section of Constitution of Nepal, Article 38.","<s>[INST] What can be  the punishment for Violation of Parental Rights: Denying a woman her parental rights according the law and acts of Nepal? [/INST]  For the offence of Violation of Parental Rights: Denying a woman her parental rights ,the punishment is Legal action to restore rights according to the section of Constitution of Nepal, Article 38.</s>"
140,What can be  the punishment for Financial Abuse: Controlling a woman's financial resources,"For the offence of Financial Abuse: Controlling a woman's financial resources, the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.","<s>[INST] What can be  the punishment for Financial Abuse: Controlling a woman's financial resources according the law and acts of Nepal? [/INST]  For the offence of Financial Abuse: Controlling a woman's financial resources ,the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.</s>"
141,What can be  the punishment for Violation of Voting Rights: Preventing a woman from voting,"For the offence of Violation of Voting Rights: Preventing a woman from voting, the punishment is Legal action to ensure voting rights according to the section of Constitution of Nepal, Article 84.","<s>[INST] What can be  the punishment for Violation of Voting Rights: Preventing a woman from voting according the law and acts of Nepal? [/INST]  For the offence of Violation of Voting Rights: Preventing a woman from voting ,the punishment is Legal action to ensure voting rights according to the section of Constitution of Nepal, Article 84.</s>"
142,What can be  the punishment for Coercion in Political Participation: Forcing a woman to participate or not participate in politics,"For the offence of Coercion in Political Participation: Forcing a woman to participate or not participate in politics, the punishment is Legal action to ensure political rights according to the section of Constitution of Nepal, Article 38.","<s>[INST] What can be  the punishment for Coercion in Political Participation: Forcing a woman to participate or not participate in politics according the law and acts of Nepal? [/INST]  For the offence of Coercion in Political Participation: Forcing a woman to participate or not participate in politics ,the punishment is Legal action to ensure political rights according to the section of Constitution of Nepal, Article 38.</s>"
143,What can be  the punishment for Cultural Violence: Harmful traditional practices against women,"For the offence of Cultural Violence: Harmful traditional practices against women, the punishment is Legal action to eliminate harmful practices according to the section of Constitution of Nepal, Article 51.","<s>[INST] What can be  the punishment for Cultural Violence: Harmful traditional practices against women according the law and acts of Nepal? [/INST]  For the offence of Cultural Violence: Harmful traditional practices against women ,the punishment is Legal action to eliminate harmful practices according to the section of Constitution of Nepal, Article 51.</s>"
144,What can be  the punishment for Reproductive Health Violations: Denying reproductive health services,"For the offence of Reproductive Health Violations: Denying reproductive health services, the punishment is Legal action to ensure health rights according to the section of Constitution of Nepal, Article 35.","<s>[INST] What can be  the punishment for Reproductive Health Violations: Denying reproductive health services according the law and acts of Nepal? [/INST]  For the offence of Reproductive Health Violations: Denying reproductive health services ,the punishment is Legal action to ensure health rights according to the section of Constitution of Nepal, Article 35.</s>"
145,What can be  the punishment for Forced Medical Treatment: Coercing a woman into medical procedures,"For the offence of Forced Medical Treatment: Coercing a woman into medical procedures, the punishment is Up to 5 years imprisonment according to the section of Constitution of Nepal, Article 35.","<s>[INST] What can be  the punishment for Forced Medical Treatment: Coercing a woman into medical procedures according the law and acts of Nepal? [/INST]  For the offence of Forced Medical Treatment: Coercing a woman into medical procedures ,the punishment is Up to 5 years imprisonment according to the section of Constitution of Nepal, Article 35.</s>"
146,What can be  the punishment for Emotional Abuse: Inflicting emotional distress on a woman,"For the offence of Emotional Abuse: Inflicting emotional distress on a woman, the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.","<s>[INST] What can be  the punishment for Emotional Abuse: Inflicting emotional distress on a woman according the law and acts of Nepal? [/INST]  For the offence of Emotional Abuse: Inflicting emotional distress on a woman ,the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.</s>"
147,What can be  the punishment for Forced Drug Use: Coercing a woman to use drugs,"For the offence of Forced Drug Use: Coercing a woman to use drugs, the punishment is Up to 7 years imprisonment and a fine of up to NPR 70,000 according to the section of Muluki Ain (General Code), Chapter on Drug Offenses, Section 225.","<s>[INST] What can be  the punishment for Forced Drug Use: Coercing a woman to use drugs according the law and acts of Nepal? [/INST]  For the offence of Forced Drug Use: Coercing a woman to use drugs ,the punishment is Up to 7 years imprisonment and a fine of up to NPR 70,000 according to the section of Muluki Ain (General Code), Chapter on Drug Offenses, Section 225.</s>"
148,What can be  the punishment for Illegal Adoption: Forcing or deceiving a woman into giving up her child for adoption,"For the offence of Illegal Adoption: Forcing or deceiving a woman into giving up her child for adoption, the punishment is Up to 10 years imprisonment according to the section of Child Rights Act, 2018, Section 66.","<s>[INST] What can be  the punishment for Illegal Adoption: Forcing or deceiving a woman into giving up her child for adoption according the law and acts of Nepal? [/INST]  For the offence of Illegal Adoption: Forcing or deceiving a woman into giving up her child for adoption ,the punishment is Up to 10 years imprisonment according to the section of Child Rights Act, 2018, Section 66.</s>"
149,What can be  the punishment for Coercive Control: Controlling a woman's behavior through threats or force,"For the offence of Coercive Control: Controlling a woman's behavior through threats or force, the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.","<s>[INST] What can be  the punishment for Coercive Control: Controlling a woman's behavior through threats or force according the law and acts of Nepal? [/INST]  For the offence of Coercive Control: Controlling a woman's behavior through threats or force ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.</s>"
150,What can be  the punishment for Violation of Equal Pay: Paying women less for the same work,"For the offence of Violation of Equal Pay: Paying women less for the same work, the punishment is Legal action to ensure equal pay according to the section of Labor Act, 2017, Section 132.","<s>[INST] What can be  the punishment for Violation of Equal Pay: Paying women less for the same work according the law and acts of Nepal? [/INST]  For the offence of Violation of Equal Pay: Paying women less for the same work ,the punishment is Legal action to ensure equal pay according to the section of Labor Act, 2017, Section 132.</s>"
151,What can be  the punishment for Public Shaming: Humiliating a woman in public,"For the offence of Public Shaming: Humiliating a woman in public, the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Muluki Ain (General Code), Chapter on Harassment, Section 223.","<s>[INST] What can be  the punishment for Public Shaming: Humiliating a woman in public according the law and acts of Nepal? [/INST]  For the offence of Public Shaming: Humiliating a woman in public ,the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Muluki Ain (General Code), Chapter on Harassment, Section 223.</s>"
152,What can be  the punishment for Sexual Assault: Unwanted sexual contact,"For the offence of Sexual Assault: Unwanted sexual contact, the punishment is Up to 10 years imprisonment and a fine of up to NPR 100,000 according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.","<s>[INST] What can be  the punishment for Sexual Assault: Unwanted sexual contact according the law and acts of Nepal? [/INST]  For the offence of Sexual Assault: Unwanted sexual contact ,the punishment is Up to 10 years imprisonment and a fine of up to NPR 100,000 according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.</s>"
153,What can be  the punishment for Intimidation: Threatening a woman to control her actions,"For the offence of Intimidation: Threatening a woman to control her actions, the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.","<s>[INST] What can be  the punishment for Intimidation: Threatening a woman to control her actions according the law and acts of Nepal? [/INST]  For the offence of Intimidation: Threatening a woman to control her actions ,the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.</s>"
154,What can be  the punishment for Employment Rights Violation: Denying a woman her rights at work,"For the offence of Employment Rights Violation: Denying a woman her rights at work, the punishment is Legal action to restore rights according to the section of Labor Act, 2017, Section 132.","<s>[INST] What can be  the punishment for Employment Rights Violation: Denying a woman her rights at work according the law and acts of Nepal? [/INST]  For the offence of Employment Rights Violation: Denying a woman her rights at work ,the punishment is Legal action to restore rights according to the section of Labor Act, 2017, Section 132.</s>"
155,What can be  the punishment for Online Harassment: Harassing a woman through online platforms,"For the offence of Online Harassment: Harassing a woman through online platforms, the punishment is Up to 5 years imprisonment and a fine of up to NPR 100,000 according to the section of Electronic Transactions Act, 2008, Section 47.","<s>[INST] What can be  the punishment for Online Harassment: Harassing a woman through online platforms according the law and acts of Nepal? [/INST]  For the offence of Online Harassment: Harassing a woman through online platforms ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 100,000 according to the section of Electronic Transactions Act, 2008, Section 47.</s>"
156,What can be  the punishment for Forced Eviction: Evicting a woman from her home without legal cause,"For the offence of Forced Eviction: Evicting a woman from her home without legal cause, the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Constitution of Nepal, Article 37.","<s>[INST] What can be  the punishment for Forced Eviction: Evicting a woman from her home without legal cause according the law and acts of Nepal? [/INST]  For the offence of Forced Eviction: Evicting a woman from her home without legal cause ,the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Constitution of Nepal, Article 37.</s>"
